Current DateXXCurrent TimeXXFile DeletedXXDate AccessedXXDate ModifiedXXDate CreatedXXFile Size
01/21/2012XX18:58:45XXE:\Testing\backblue.gifXX12/28/2011 12:31:17 AMXX12/28/2011 12:31:17 AMXX12/28/2011 12:31:17 AMXX4
01/21/2012XX18:58:45XXE:\Testing\fade.gifXX12/28/2011 12:31:17 AMXX12/28/2011 12:31:17 AMXX12/28/2011 12:31:17 AMXX0
01/21/2012XX18:58:45XXE:\Testing\index.htmlXX12/28/2011 12:31:17 AMXX12/28/2011 12:31:17 AMXX12/28/2011 12:31:17 AMXX4
01/21/2012|18:59:23|E:\Testing\backblue.gif|12/28/2011 12:31:17 AM|12/28/2011 12:31:17 AM|12/28/2011 12:31:17 AM|4
01/21/2012|18:59:23|E:\Testing\fade.gif|12/28/2011 12:31:17 AM|12/28/2011 12:31:17 AM|12/28/2011 12:31:17 AM|0
01/21/2012|18:59:23|E:\Testing\index.html|12/28/2011 12:31:17 AM|12/28/2011 12:31:17 AM|12/28/2011 12:31:17 AM|4
